"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Calhoun County, AL"	"01015"	17	114728	Unreliable
	"Dallas County, AL"	"01047"	13	39215	Unreliable
	"Jefferson County, AL"	"01073"	162	659197	24.6
	"Lee County, AL"	"01081"	18	161604	Unreliable
	"Macon County, AL"	"01087"	11	18755	Unreliable
	"Madison County, AL"	"01089"	34	361046	9.4
	"Mobile County, AL"	"01097"	77	413955	18.6
	"Montgomery County, AL"	"01101"	57	226646	25.1
	"Russell County, AL"	"01113"	11	57045	Unreliable
	"Talladega County, AL"	"01121"	15	80065	Unreliable
	"Tuscaloosa County, AL"	"01125"	15	207811	Unreliable
	"Anchorage Borough, AK"	"02020"	40	294356	13.6
	"Fairbanks North Star Borough, AK"	"02090"	15	99703	Unreliable
	"Apache County, AZ"	"04001"	12	71606	Unreliable
	"Coconino County, AZ"	"04005"	13	140776	Unreliable
	"Maricopa County, AZ"	"04013"	264	4307033	6.1
	"Navajo County, AZ"	"04017"	16	108956	Unreliable
	"Pima County, AZ"	"04019"	73	1022769	7.1
	"Pinal County, AZ"	"04021"	29	430237	6.7
	"Garland County, AR"	"05051"	11	98658	Unreliable
	"Jefferson County, AR"	"05069"	29	69115	42.0
	"Mississippi County, AR"	"05093"	11	42159	Unreliable
	"Pulaski County, AR"	"05119"	71	393956	18.0
	"Sebastian County, AR"	"05131"	11	128107	Unreliable
	"Alameda County, CA"	"06001"	92	1663190	5.5
	"Contra Costa County, CA"	"06013"	61	1147439	5.3
	"Fresno County, CA"	"06019"	85	989255	8.6
	"Imperial County, CA"	"06025"	10	182830	Unreliable
	"Kern County, CA"	"06029"	98	893119	11.0
	"Kings County, CA"	"06031"	10	150101	Unreliable
	"Los Angeles County, CA"	"06037"	609	10163507	6.0
	"Merced County, CA"	"06047"	17	272673	Unreliable
	"Monterey County, CA"	"06053"	45	437907	10.3
	"Orange County, CA"	"06059"	77	3190400	2.4
	"Riverside County, CA"	"06065"	99	2423266	4.1
	"Sacramento County, CA"	"06067"	90	1530615	5.9
	"San Bernardino County, CA"	"06071"	144	2157404	6.7
	"San Diego County, CA"	"06073"	79	3337685	2.4
	"San Francisco County, CA"	"06075"	47	884363	5.3
	"San Joaquin County, CA"	"06077"	73	745424	9.8
	"San Mateo County, CA"	"06081"	12	771410	Unreliable
	"Santa Barbara County, CA"	"06083"	12	448150	Unreliable
	"Santa Clara County, CA"	"06085"	47	1938153	2.4
	"Solano County, CA"	"06095"	41	445458	9.2
	"Sonoma County, CA"	"06097"	10	504217	Unreliable
	"Stanislaus County, CA"	"06099"	26	547899	4.7
	"Tulare County, CA"	"06107"	38	464493	8.2
	"Ventura County, CA"	"06111"	27	854223	3.2
	"Yolo County, CA"	"06113"	10	219116	Unreliable
	"Adams County, CO"	"08001"	29	503167	5.8
	"Arapahoe County, CO"	"08005"	34	643052	5.3
	"Denver County, CO"	"08031"	47	704621	6.7
	"El Paso County, CO"	"08041"	46	699232	6.6
	"Jefferson County, CO"	"08059"	16	574613	Unreliable
	"Pueblo County, CO"	"08101"	12	166475	Unreliable
	"Fairfield County, CT"	"09001"	27	949921	2.8
	"Hartford County, CT"	"09003"	40	895388	4.5
	"New Haven County, CT"	"09009"	27	860435	3.1
	"Kent County, DE"	"10001"	11	176824	Unreliable
	"New Castle County, DE"	"10003"	47	559793	8.4
	"District of Columbia, DC"	"11001"	116	693972	16.7
	"Alachua County, FL"	"12001"	11	266944	Unreliable
	"Bay County, FL"	"12005"	13	183563	Unreliable
	"Brevard County, FL"	"12009"	32	589162	5.4
	"Broward County, FL"	"12011"	107	1935878	5.5
	"Duval County, FL"	"12031"	142	937934	15.1
	"Escambia County, FL"	"12033"	26	313512	8.3
	"Hernando County, FL"	"12053"	11	186553	Unreliable
	"Hillsborough County, FL"	"12057"	79	1408566	5.6
	"Lake County, FL"	"12069"	20	346017	5.8
	"Lee County, FL"	"12071"	38	739224	5.1
	"Leon County, FL"	"12073"	17	290292	Unreliable
	"Manatee County, FL"	"12081"	20	385571	5.2
	"Marion County, FL"	"12083"	25	354353	7.1
	"Miami-Dade County, FL"	"12086"	205	2751796	7.4
	"Orange County, FL"	"12095"	88	1348975	6.5
	"Osceola County, FL"	"12097"	15	352180	Unreliable
	"Palm Beach County, FL"	"12099"	97	1471150	6.6
	"Pasco County, FL"	"12101"	16	525643	Unreliable
	"Pinellas County, FL"	"12103"	45	970637	4.6
	"Polk County, FL"	"12105"	19	686483	Unreliable
	"St. Lucie County, FL"	"12111"	15	313506	Unreliable
	"Sarasota County, FL"	"12115"	14	419119	Unreliable
	"Seminole County, FL"	"12117"	19	462659	Unreliable
	"Volusia County, FL"	"12127"	31	538692	5.8
	"Baldwin County, GA"	"13009"	11	44906	Unreliable
	"Bibb County, GA"	"13021"	26	152862	17.0
	"Chatham County, GA"	"13051"	38	290501	13.1
	"Clayton County, GA"	"13063"	43	285153	15.1
	"Cobb County, GA"	"13067"	35	755754	4.6
