County,"Index crime rate per 100K, 2013","Index crime rate per 100K, 2014","Index crime rate per 100K, 2015","Index crime rate per 100K, 2016","Index crime rate per 100K, 2017","Average index crime rate, 2013-17"
Alachua County,3720.1312892638,3607.4661986998,3478.32227640618,3582.8,3476.9,3573.12395287395
Baker County,1696.3654625944,1622.76314326998,1795.16600658844,1609.5,1552,1655.15892249056
Bay County,4592.44345542957,4699.58601952208,4510.99186428942,4240.5,4283.6,4465.42426784821
Bradford County,1877.50303119374,1529.84664934304,1446.35664591725,1745.6,1765.4,1672.94126529081
Brevard County,3320.2412731755,3110.45622317519,3174.92531786639,3115.9,2949.7,3134.24456284342
Broward County,4011.17265221618,3622.92207507832,3577.27812749163,3581.6,3465.1,3651.61457095723
Calhoun County,574.516106969428,952.576754385965,749.192384356313,781.9,906.6,792.957049142341
Charlotte County,2309.39827344986,1944.46302297725,1744.63476944616,1796.4,1548.7,1868.71921317465
Citrus County,2225.3218425978,2006.42054574639,1628.25704411983,1619.7,1694,1834.7398864928
Clay County,2405.06526034131,2338.87022993571,2077.73367051377,2026.1,1831.2,2135.79383215816
Collier County,1798.52126247142,1766.71625349261,1687.59925771229,1558.5,1507.3,1663.72735473526
Columbia County,4058.43915304716,3671.15855276738,3647.13994395787,3274.2,3353.5,3600.88752995448
Miami Dade County,4906.49111767269,4690.75927844597,4369.70173335132,4118,3907,4398.390425894
Desoto County,2805.01644018972,3203.97374077732,2599.41915633896,2771.7,2723.1,2820.6418674612
Dixie County,3222.03775441185,2928.58889704084,2617.19698809813,2438.4,2212.1,2683.66472791017
Duval County,4615.7007105556,4669.99076472981,4382.41380605009,4287.9,4230.6,4437.3210562671
Escambia County,5250.06641870351,4729.07830355997,4703.46382402002,3993.7,3804,4496.0617092567
Flagler County,2217.83878253937,2061.11722036703,2043.13056511493,2037.7,1978.8,2067.71731360427
Franklin County,1980.62618924062,1789.04527725962,2280.40540540541,1376.3,1513,1787.87537438113
Gadsden County,2429.18382785576,2301.64670658683,2115.28510814447,1239.5,2043,2025.72312851741
Glades County,1548.42787170169,1276.06598194833,1758.34435540341,1203.3,1597,1476.62764181069
Gulf County,2707.06568980504,2031.07054343227,1957.66548391044,1617.8,1699.7,2002.66034342955
Hamilton County,2798.64892810367,3191.41523238799,2857.14285714286,2120.7,2775.7,2748.7214035269
Hardee County,2741.85391228957,2623.41224018476,1913.54675348164,2178.2,1979.9,2287.38258119119
Hendry County,3827.23233178163,3868.58424594274,4066.04367912642,2786,2995.6,3508.69205137016
Hernando County,2557.41968148762,2544.65433968735,2508.78016502751,2166.5,2067.8,2369.0308372405
Highlands County,3327.2110765753,2831.1526979102,2678.96136896018,2948.9,2931.3,2943.50502868914
Hillsborough County,2557.95551586089,2437.9996113334,2354.32039065665,2081.3,1958.4,2277.99510357019
