"State.Code..FIPS.","County.Code..FIPS.","County","2013 population","2013 murders","2014 population","2014 murders","2015 population","2015 murders","2016 population","2016 murders","2017 population","2017 murders","2013 murders per 100,000 people","2014 murders per 100,000 people","2015 murders per 100,000 people","2016 murders per 100,000 people","2017 murders per 100,000 people","2013-17 average murders per 100K","2013-17 average population","Index crime rate per 100K, 2013","Index crime rate per 100K, 2014","Index crime rate per 100K, 2015","Index crime rate per 100K, 2016","Index crime rate per 100K, 2017","Average index crime rate, 2013-17","Summary.Level","County.Subdivision.Code..FIPS.","Place.Code..FIPS.","Consolidtated.City.Code..FIPS.","Median annual income","Percent in poverty","Percent black","Percent non-Hispanic white","Percent of households headed by husbandless women","Percent of households headed by husbandless mothers","Median age","Percent of 25-and-older with college degree","Households","Percent in labor force","Percent of homes owner-occupied","Percent of homes vacant","Percent of households headed by wifeless fathers","Percent born outside U.S.","Unemployment rate","Homeowner vacancy rate","Rental vacancy rate","Percent with broadband internet","Births per 1,000 women aged 15-19","Percent of homes rented","BlackCategory","WhiteCategory"
"12","001","Alachua County",248002,9,250730,3,254893,3,257062,4,260003,9,3.62900299191135,1.19650620189048,1.17696445175034,1.55604484521244,3.46149852117091,2.20400340238711,254138,3720.1312892638,3607.4661986998,3478.32227640618,3582.8,3476.9,3573.12395287395,50,"00000","00000","00000",45478,23.3,20.2,62,10.8,5.6,31.2,41.4,97485,59.2,53.6,15.4,1.4,25917,6.6,2.8,13.3,81.4,3,46.4,"10-24","50+"
"12","003","Baker County",26881,0,26991,0,27017,0,26965,1,27191,2,0,0,0,3.70851103282032,7.35537494023758,2.21277719461158,27009,1696.3654625944,1622.76314326998,1795.16600658844,1609.5,1552,1655.15892249056,50,"00000","00000","00000",59506,17.2,13.8,81.9,12.3,6.5,37.1,13.1,8299,52.2,77.6,15.6,2.2,377,5.8,0.6,4.3,70.5,14,22.4,"10-24","50+"
"12","005","Bay County",169866,8,170781,17,173310,9,176016,9,178820,11,4.70959462164294,9.95426891750253,5.19300675090878,5.11317152986092,6.15143719941841,6.22429580386672,173758.6,4592.44345542957,4699.58601952208,4510.99186428942,4240.5,4283.6,4465.42426784821,50,"00000","00000","00000",50283,15.4,11,77.3,12.1,6.4,39.6,22.4,68667,60.9,62.4,32.3,2.1,10310,6.4,2.9,28.8,80.4,18,37.6,"10-24","50+"
"12","007","Bradford County",27217,1,27323,0,27310,0,27440,2,27642,0,3.67417422934196,0,0,7.28862973760933,0,2.19256079339026,27386.4,1877.50303119374,1529.84664934304,1446.35664591725,1745.6,1765.4,1672.94126529081,50,"00000","00000","00000",46106,18.8,19.2,74.5,15.5,6.5,40.9,10.4,8980,45.1,71.1,18.5,1.6,808,7.6,1.4,2.3,65.4,49,28.9,"10-24","50+"
"12","009","Brevard County",548424,20,552427,17,561714,24,568919,20,575211,25,3.64681341443846,3.07732967432801,4.2726369647187,3.51543892891607,4.34623120906937,3.77169003829412,561339,3320.2412731755,3110.45622317519,3174.92531786639,3115.9,2949.7,3134.24456284342,50,"00000","00000","00000",51536,13.4,10.2,75.3,11.5,5.8,47.1,28.4,227223,54.7,72,17.3,2.1,48940,7.6,1.6,10.3,83,8,28,"10-24","50+"
"12","011","Broward County",1784715,80,1803903,75,1827367,85,1854513,81,1873970,95,4.48250841170719,4.15765149234743,4.65150131309146,4.36772349398467,5.06945148534929,4.54576723929601,1828893.6,4011.17265221618,3622.92207507832,3577.27812749163,3581.6,3465.1,3651.61457095723,50,"00000","00000","00000",54895,14,28.4,38.2,15.6,8,40.1,31.5,675828,65.8,62.3,17.4,2,625456,7.6,2.1,7.4,80.9,10,37.7,"25-49","25-49"
"12","013","Calhoun County",14621,1,14592,0,14549,0,14580,0,15001,0,6.83947746392176,0,0,0,0,1.36789549278435,14668.6,574.516106969428,952.576754385965,749.192384356313,781.9,906.6,792.957049142341,50,"00000","00000","00000",36237,12.9,13,76.9,11.6,6,40.3,9.6,4581,44.1,83.5,23.7,1.2,575,8.6,4,10.2,60.1,49,16.5,"10-24","50+"
"12","015","Charlotte County",163679,1,164467,2,167141,1,170450,5,172720,1,0.610951924193085,1.21604942024844,0.598297246037776,2.93341155764154,0.578971746178786,1.18753637885993,167691.4,2309.39827344986,1944.46302297725,1744.63476944616,1796.4,1548.7,1868.71921317465,50,"00000","00000","00000",46511,12,5.7,84.4,7.2,3.4,58.1,22.4,74884,42.1,78.2,27.1,1.8,17671,8.9,3.1,11.9,79.9,8,21.8,"Less than 10% black","50+"
"12","017","Citrus County",140519,5,140798,4,141501,2,143054,4,143801,3,3.55823767604381,2.84094944530462,1.41341757302069,2.79614690955863,2.08621636845363,2.53899359447627,141934.6,2225.3218425978,2006.42054574639,1628.25704411983,1619.7,1694,1834.7398864928,50,"00000","00000","00000",40574,17.4,2.9,88.6,9.8,3.7,55.9,17.8,62488,40.9,80.9,20.7,2,7557,9.9,3.2,9.1,78.5,20,19.1,"Less than 10% black","50+"
"12","019","Clay County",192843,3,197403,6,201277,5,205321,5,208549,4,1.55566963799568,3.03946748529658,2.48413877392847,2.43521120586789,1.91801447141919,2.28650031490156,201078.6,2405.06526034131,2338.87022993571,2077.73367051377,2026.1,1831.2,2135.79383215816,50,"00000","00000","00000",61971,10.4,10,74.2,13,6.8,39.4,23.7,71939,63.3,74.4,8.7,2.1,14008,8.1,1.6,4.2,86,7,25.6,"10-24","50+"
"12","021","Collier County",333663,12,336783,5,343802,2,350202,10,357470,7,3.59644311775654,1.48463550713664,0.581730181907028,2.85549482869887,1.95820628304473,2.09530198370876,344384,1798.52126247142,1766.71625349261,1687.59925771229,1558.5,1507.3,1663.72735473526,50,"00000","00000","00000",62407,12.8,7,63.6,9,4.9,49.7,34.9,138131,53.1,72.1,33.4,1.8,86578,5.3,2.7,10.6,81.4,23,27.9,"Less than 10% black","50+"
"12","023","Columbia County",67489,7,67826,2,68163,6,68566,3,68943,4,10.372060632103,2.94872172913042,8.80242947053387,4.37534638158854,5.80189431849499,6.46009050637017,68197.4,4058.43915304716,3671.15855276738,3647.13994395787,3274.2,3353.5,3600.88752995448,50,"00000","00000","00000",43504,16.8,17.8,73.1,12.9,5.7,40.7,16.4,24722,51.8,73,14.2,2.9,2468,9.5,2.8,7.8,73.1,0,27,"10-24","50+"
"12","027","DeSoto County",34367,2,34426,2,34777,0,35141,2,35621,6,5.81953618296622,5.80956253994074,0,5.69135767337298,16.8439965189074,6.83289058303747,34866.4,2805.01644018972,3203.97374077732,2599.41915633896,2771.7,2723.1,2820.6418674612,50,"00000","00000","00000",35435,29.9,12.8,55.5,12,8,40.7,11.5,11744,46,68.9,21.7,3.6,6256,6.1,2.4,10.4,50,20,31.1,"10-24","50+"
"12","029","Dixie County",16263,1,16356,3,16468,1,16773,1,16726,1,6.14892701223637,18.3418928833456,6.0723828030119,5.96196267811364,5.97871577185221,8.50077622971194,16517.2,3222.03775441185,2928.58889704084,2617.19698809813,2438.4,2212.1,2683.66472791017,50,"00000","00000","00000",35910,23.7,7.1,84.8,12.1,5.4,47.6,9.1,6431,37.5,78.2,31.4,1.3,446,6.2,3.9,4.7,44.4,0,21.8,"Less than 10% black","50+"
"12","031","Duval County",876075,93,890066,96,905574,97,923647,106,936811,112,10.615529492338,10.7857170142439,10.7114382700917,11.476245795201,11.9554531276853,11.108876739912,906434.6,4615.7007105556,4669.99076472981,4382.41380605009,4287.9,4230.6,4437.3210562671,50,"00000","00000","00000",51296,16,29.7,54.1,15.6,8.4,36,28.7,347783,65.7,57.7,13,2.1,94235,7.4,2.4,7.6,78.4,18,42.3,"25-49","50+"
"12","033","Escambia County",301120,26,303907,21,306944,24,309986,19,313381,19,8.63443145589798,6.91000865396322,7.81901584653878,6.1293090655707,6.06290745131326,7.11113449465679,307067.6,5250.06641870351,4729.07830355997,4703.46382402002,3993.7,3804,4496.0617092567,50,"00000","00000","00000",47361,14.6,21.7,64.8,12.8,4.8,37,26,117836,61.1,60.9,15.7,2,14980,7.2,2.1,14,80.5,9,39.1,"10-24","50+"
